,Bird.Code,Day,Month,Month,Year,Full date,Region,molt.size
18556,18984,5,11,Nov,2006,11/5/2006,Humboldt,1
18629,19057,16,8,Aug,2004,8/16/2004,North Coast,1
18846,19274,16,10,Oct,2004,10/16/2004,South Coast,1
19024,19452,23,10,Oct,2004,10/23/2004,Oregon North,1
19047,19475,7,9,Sep,2007,9/7/2007,Puget Sound,1
19112,19540,13,9,Sep,2006,9/13/2006,Strait,1
19142,19570,29,9,Sep,2003,9/29/2003,North Coast,1
19387,19815,29,10,Oct,2003,10/29/2003,North Coast,1
19652,20080,26,9,Sep,2004,9/26/2004,North Coast,1
19861,20289,14,8,Aug,2005,8/14/2005,Oregon North,1
19889,20317,10,10,Oct,2007,10/10/2007,Oregon North,1
20213,20642,30,7,Jul,2004,7/30/2004,Oregon North,1
20218,20647,30,7,Jul,2004,7/30/2004,Oregon North,1
20220,20649,30,7,Jul,2004,7/30/2004,Oregon North,1
20233,20662,30,7,Jul,2004,7/30/2004,Oregon North,1
20237,20666,30,7,Jul,2004,7/30/2004,Oregon North,1
20273,20702,12,8,Aug,2006,8/12/2006,Oregon North,1
20282,20711,10,9,Sep,2007,9/10/2007,Oregon North,1
20376,20805,17,9,Sep,2007,9/17/2007,Oregon North,1
20479,20908,11,10,Oct,2007,10/11/2007,Oregon North,1
20795,21224,7,9,Sep,2004,9/7/2004,North Coast,1
20813,21242,7,9,Sep,2004,9/7/2004,North Coast,1
