YYYY,MM,DD,hh,WD,WSPD,WVHT
2002,1,4,21,110,8.2,1.99
2002,1,4,22,111,8.5,2.11
2002,1,4,23,104,8.8,2.04
2002,1,5,0,121,8.2,2.04
2002,1,5,1,118,9,1.87
2002,1,5,2,104,10.2,1.83
2002,1,5,3,107,10,1.75
2002,1,5,4,113,9.4,1.86
2002,1,5,5,117,10.6,1.77
2002,1,5,6,118,11.4,1.92
2002,1,5,7,115,11.6,2.05
2002,1,5,8,117,11.8,1.85
2002,1,5,9,158,12.1,2.33
2002,1,5,10,142,12.9,2.35
2002,1,5,11,137,13.8,2.65
2002,1,5,12,137,13.5,3.02
2002,1,5,13,120,11.8,3.57
2002,1,5,14,123,12.1,3.68
2002,1,5,15,121,11.7,3.89
2002,1,5,16,128,11.9,3.9
2002,1,5,17,126,12.3,4.02
2002,1,5,18,125,11.6,3.66
2002,1,5,19,125,12,3.93
2002,1,5,20,125,12.4,3.79
2002,1,5,21,129,12.6,3.52
2002,1,5,22,131,12.7,3.5
2002,1,5,23,127,11.8,3.72
2002,1,6,0,115,11.7,99
2002,1,6,1,112,12.6,3.25
2002,1,6,2,116,12.6,4.1
2002,1,6,3,111,13.3,3.76
2002,1,6,4,120,13.4,3.82
2002,1,6,5,137,13.3,3.8
2002,1,6,6,163,9.7,3.76
2002,1,6,7,176,8.4,4.4
2002,1,6,8,175,7.8,3.79
2002,1,6,9,175,7.6,3.8
2002,1,6,10,165,7.3,3.51
2002,1,6,11,170,6.6,3.94
2002,1,6,12,138,7.2,3.48
2002,1,6,13,133,8.2,3.1
2002,1,6,14,114,7,2.99
2002,1,6,15,100,9.6,3.55
2002,1,6,16,105,11.9,3.51
2002,1,6,17,109,11,3.47
2002,1,6,18,106,12.1,3.64
2002,1,6,19,111,13.3,3.93
2002,1,6,20,119,13.7,3.86
2002,1,6,21,134,13.9,3.88
2002,1,6,22,158,14.7,4
2002,1,6,23,173,16,4.45
2002,1,7,0,175,16.9,5.25
2002,1,7,1,183,16.2,5
2002,1,7,2,184,14.5,5.38
2002,1,7,3,183,13.5,5.32
2002,1,7,4,184,11.2,5.24
2002,1,7,5,178,11.3,4.82
2002,1,7,6,177,10.5,4.82
2002,1,7,7,180,10.7,4.8
2002,1,7,8,178,10.4,4.71
2002,1,7,9,172,10.4,5.01
2002,1,7,10,176,11.2,4.68
2002,1,7,11,177,10.8,4.97
2002,1,7,12,170,11.6,5.37
2002,1,7,13,173,13.8,5.48
2002,1,7,14,173,13.8,5.32
2002,1,7,15,170,13.9,5.75
2002,1,7,16,176,14.7,5.81
2002,1,7,17,184,15.7,6.67
2002,1,7,18,178,14.4,6.73
2002,1,7,19,177,15,6.81
2002,1,7,20,180,15.8,6.38
2002,1,7,21,192,12,6.42
2002,1,7,22,187,8.8,6.11
2002,1,7,23,182,8.9,6.77
2002,1,8,0,186,10.3,5.96
2002,1,8,1,191,8.6,6.53
2002,1,8,2,199,8.5,5.78
2002,1,8,3,197,8.4,5.43
2002,1,8,4,198,8.2,5.79
2002,1,8,5,200,8.2,5.37
2002,1,8,6,206,7.2,5.81
2002,1,8,7,186,8.4,5.69
2002,1,8,8,177,9.1,5.54
2002,1,8,9,191,11.1,5.06
2002,1,8,10,196,10.1,5.79
2002,1,8,11,188,9.4,5.81
2002,1,8,12,191,9.9,5.62
2002,1,8,13,190,10.5,5.08
2002,1,8,14,194,11.6,5.1
2002,1,8,15,210,10.7,4.79
2002,1,8,16,214,10.2,4.39
2002,1,8,17,211,9,4.7
2002,1,8,18,214,8.7,4.41
2002,1,8,19,218,8.6,4.43
2002,1,8,20,255,8.1,4.47
2002,1,8,21,253,8.5,4.53
2002,1,8,22,270,7.2,4.36
2002,1,8,23,270,5.9,4.37
2002,1,9,0,280,4,3.95
2002,1,9,1,285,2.7,4.16
2002,1,9,2,281,3.2,3.99
2002,1,9,3,263,1.5,3.9
2002,1,9,4,269,2.8,3.87
2002,1,9,5,274,1,3.59
2002,1,9,6,292,0.6,3.37
2002,1,9,7,276,0.6,3.7
2002,1,9,8,238,3.1,3.84
2002,1,9,9,233,2.3,3.86
2002,1,9,10,211,3.9,3.6
2002,1,9,11,211,3.3,3.91
2002,1,9,12,265,3.2,3.43
2002,1,9,13,142,2.5,3.48
2002,1,9,14,155,0.8,3.86
2002,1,9,15,149,2.6,3.88
2002,1,9,16,118,7.1,3.75
2002,1,9,17,132,4.2,4.2
2002,1,9,18,130,4.7,3.53
2002,1,9,19,119,7.1,3.18
2002,1,9,20,122,6.8,3.61
2002,1,9,21,118,6.9,3.05
2002,1,9,22,131,4.3,3.12
2002,1,9,23,128,4.7,3.18
2002,1,10,0,149,4.6,2.73
2002,1,10,1,126,4.5,2.96
2002,1,10,2,120,4.9,2.65
2002,1,10,3,112,7.7,2.24
2002,1,10,4,111,8.8,2.76
2002,1,10,5,123,8.3,2.79
2002,1,10,6,124,7.9,2.49
2002,1,10,7,142,6.4,2.53
2002,1,10,8,122,6.6,2.46
2002,1,10,9,127,8,2.41
2002,1,10,10,999,99,2.25
2002,1,10,11,132,10.3,2.56
2002,1,10,12,144,9.1,2.49
2002,1,10,13,144,8.5,2.65
2002,1,10,14,152,8.2,2.66
2002,1,10,15,165,8.2,2.82
2002,1,10,16,168,8.6,2.65
2002,1,10,17,164,6.7,2.73
2002,1,10,18,148,7.3,3.56
2002,1,10,19,159,8,3.55
2002,1,10,20,153,7.8,3.94
2002,1,10,21,158,6.8,3.99
2002,1,10,22,150,6.7,3.95
2002,1,10,23,143,6.5,3.84
2002,1,11,0,133,8.4,4.21
2002,1,11,1,121,8.4,3.91
2002,1,11,2,119,9.4,3.99
2002,1,11,3,120,9.6,3.84
2002,1,11,4,119,8.3,4.31
2002,1,11,5,115,7.9,3.96
2002,1,11,6,115,6.8,3.73
2002,1,11,7,115,6.6,3.84
2002,1,11,8,104,7.4,4.43
2002,1,11,9,115,9.1,3.63
2002,1,11,10,114,10,3.83
2002,1,11,11,111,11.9,3.87
2002,1,11,12,117,11.9,3.79
2002,1,11,13,111,10.1,3.64
2002,1,11,14,117,11.4,3.38
2002,1,11,15,119,10.2,3.45
2002,1,11,16,118,10.6,3.79
2002,1,11,17,120,10.4,3.16
2002,1,11,18,116,9.2,3.17
2002,1,11,19,128,8.2,3.04
2002,1,11,20,118,9.7,3.16
2002,1,11,21,127,8.7,3.08
2002,1,11,22,127,8.9,3.01
2002,1,11,23,124,9.3,2.87
2002,1,12,0,125,9.1,2.84
2002,1,12,1,123,9.8,2.75
2002,1,12,2,127,11.7,2.72
2002,1,12,3,133,12.5,2.74
2002,1,12,4,142,11.1,3.28
2002,1,12,5,172,10.8,3.28
2002,1,12,6,156,13.4,3.58
2002,1,12,7,163,14.7,3.74
2002,1,12,8,173,14.6,4.21
2002,1,12,9,184,14,4.34
2002,1,12,10,202,9.1,4.72
2002,1,12,11,215,7,3.97
2002,1,12,12,283,11.7,3.92
2002,1,12,13,287,13.7,4.4
2002,1,12,14,283,11.8,3.99
2002,1,12,15,285,12.7,3.96
2002,1,12,16,295,12.6,3.81
2002,1,12,17,287,11.1,4
2002,1,12,18,289,10,3.94
2002,1,12,19,289,11.1,4
2002,1,12,20,294,11.3,3.9
2002,1,12,21,290,12.2,4.11
2002,1,12,22,281,11.5,4.4
2002,1,12,23,289,11.8,4.21
2002,1,13,0,294,11.5,4.33
2002,1,13,1,295,11.9,4.44
2002,1,13,2,306,10.6,4.77
2002,1,13,3,314,9.1,4.75
2002,1,13,4,296,7.7,4.93
2002,1,13,5,306,8.4,5
2002,1,13,6,301,9.2,4.8
2002,1,13,7,320,7.8,4.66
2002,1,13,8,304,8.2,4.37
2002,1,13,9,309,8.3,4.68
2002,1,13,10,307,8.2,3.86
2002,1,13,11,306,7.5,4.17
2002,1,13,12,312,7.5,3.9
2002,1,13,13,308,6.4,3.84
2002,1,13,14,299,5.9,3.39
2002,1,13,15,320,6.3,3.77
2002,1,13,16,305,5.3,3.43
2002,1,13,17,286,2.1,3.42
2002,1,13,18,294,4,3.16
2002,1,13,19,300,5.7,2.98
2002,1,13,20,305,4.3,2.97
2002,1,13,21,309,6.3,2.77
2002,1,13,22,312,5.9,2.81
2002,1,13,23,309,6,2.72
2002,1,14,0,313,5.3,2.54
2002,1,14,1,342,4.8,2.33
2002,1,14,2,357,5.4,2.39
2002,1,14,3,348,3.8,2.05
2002,1,14,4,34,3.5,2.23
2002,1,14,5,29,3.4,2.23
2002,1,14,6,357,1.8,2.01
2002,1,14,7,325,2.3,1.99
2002,1,14,8,316,3.6,2.05
2002,1,14,9,310,3.4,2.08
2002,1,14,10,318,2.4,1.84
2002,1,14,11,6,3.3,1.81
2002,1,14,12,80,3.9,1.74
2002,1,14,13,87,2.2,1.72
2002,1,14,14,81,1.4,1.38
2002,1,14,15,13,1,1.53
2002,1,14,16,339,1.8,1.36
2002,1,14,17,360,3.7,1.29
2002,1,14,18,4,5.5,1.32
2002,1,14,19,15,4.3,1.5
2002,1,14,20,357,4.4,1.51
2002,1,14,21,357,3.1,1.79
2002,1,14,22,3,3.7,1.94
2002,1,14,23,7,3.1,2
2002,1,15,0,27,2.1,1.86
2002,1,15,1,45,0.6,2.27
2002,1,15,2,311,0.3,2.15
2002,1,15,3,303,1.3,2.28
2002,1,15,4,2,5.4,2.37
2002,1,15,5,354,6.3,2.56
2002,1,15,6,6,6.6,2.61
2002,1,15,7,7,5.2,2.8
2002,1,15,8,3,4.2,2.62
2002,1,15,9,357,3.3,2.53
2002,1,15,10,353,1.8,2.59
2002,1,15,11,84,2.7,2.37
2002,1,15,12,85,2.2,2.38
2002,1,15,13,104,3.3,2.38
2002,1,15,14,124,4.6,2.29
2002,1,15,15,111,4.8,2.33
2002,1,15,16,113,5.5,2.37
2002,1,15,17,115,5.6,2.44
2002,1,15,18,116,6,2.2
2002,1,15,19,109,6.5,2.28
2002,1,15,20,111,6.8,2.41
2002,1,15,21,129,5.7,2.41
2002,1,15,22,120,5.4,2.66
2002,1,15,23,113,5.3,2.48
2002,1,16,0,111,4.5,2.7
2002,1,16,1,114,3.9,2.47
2002,1,16,2,107,3.7,2.35
2002,1,16,3,128,3,2.56
2002,1,16,4,127,3.5,2.34
2002,1,16,5,136,4.2,2.4
2002,1,16,6,142,3.7,2.24
2002,1,16,7,128,4.3,2.21
2002,1,16,8,132,5,1.92
2002,1,16,9,135,5.8,1.98
2002,1,16,10,141,5.6,1.95
2002,1,16,11,144,5.4,2.05
2002,1,16,12,145,5.3,2.19
2002,1,16,13,150,4,2.39
2002,1,16,14,166,3.3,2.69
2002,1,16,15,185,1.1,2.68
2002,1,16,16,161,1.1,2.45
2002,1,16,17,340,6.2,2.62
2002,1,16,18,325,3.5,2.31
2002,1,16,19,315,3.4,2.59
2002,1,16,20,290,7.9,2.38
2002,1,16,21,300,10.7,2.91
2002,1,16,22,304,11.4,2.91
2002,1,16,23,310,10.8,2.98
2002,1,17,0,304,10.5,2.95
2002,1,17,1,356,8.9,3.38
2002,1,17,2,349,7.7,3.54
2002,1,17,3,355,9.4,3.63
2002,1,17,4,11,8.6,3.58
2002,1,17,5,3,5.5,3.83
2002,1,17,6,350,6.6,3.65
2002,1,17,7,12,5.9,3.6
2002,1,17,8,356,2.6,3.36
2002,1,17,9,286,3,3.21
2002,1,17,10,220,1.6,2.99
2002,1,17,11,201,2.4,3.13
2002,1,17,12,199,3.4,2.81
2002,1,17,13,167,6.3,2.81
2002,1,17,14,199,4.5,2.6
2002,1,17,15,199,1.6,2.87
2002,1,17,16,135,1.9,2.87
2002,1,17,17,191,2.8,2.72
2002,1,17,18,210,1.1,3
2002,1,17,19,270,2.9,2.77
2002,1,17,20,305,4.4,2.89
2002,1,17,21,287,3.5,2.69
2002,1,17,22,291,2.8,2.66
2002,1,17,23,298,3.6,2.55
2002,1,18,0,301,4.3,2.42
2002,1,18,1,287,3.5,2.32
2002,1,18,2,302,4.8,2.35
2002,1,18,3,295,4.6,2.2
2002,1,18,4,101,5.4,2.07
2002,1,18,5,115,6.5,2.19
2002,1,18,6,113,6.2,2.13
2002,1,18,7,113,6.5,2.07
2002,1,18,8,117,6.2,1.92
2002,1,18,9,120,5.9,1.88
2002,1,18,10,125,4.8,1.82
2002,1,18,11,138,4.9,2.04
2002,1,18,12,122,4.7,1.93
2002,1,18,13,117,4.8,1.89
2002,1,18,14,115,5.2,1.87
2002,1,18,15,135,5.6,2.01
2002,1,18,16,133,5.9,1.86
2002,1,18,17,125,6.2,1.79
2002,1,18,18,114,6.7,1.69
2002,1,18,19,129,5.7,1.77
2002,1,18,20,157,1.8,1.69
2002,1,18,21,295,3.3,1.87
2002,1,18,22,270,4.1,1.75
2002,1,18,23,257,4.2,1.59
2002,1,19,0,252,5.6,1.64
2002,1,19,1,229,5,1.71
2002,1,19,2,190,5.9,1.78
2002,1,19,3,251,8.4,1.71
2002,1,19,4,288,11.6,1.83
2002,1,19,5,290,10.9,2.21
2002,1,19,6,294,11,2.31
2002,1,19,7,288,10.9,2.35
2002,1,19,8,301,9.2,2.45
2002,1,19,9,299,11.9,2.38
2002,1,19,10,309,11.7,2.6
2002,1,19,11,309,13.1,2.98
2002,1,19,12,295,13.8,3.25
2002,1,19,13,297,14.1,3.65
2002,1,19,14,301,13.9,3.7
2002,1,19,15,302,12.4,4.02
2002,1,19,16,302,11.8,4.26
2002,1,19,17,298,11.5,4.09
2002,1,19,18,299,11.8,4.05
2002,1,19,19,306,11.3,4.4
2002,1,19,20,287,9.7,4
2002,1,19,21,284,9.2,4.07
2002,1,19,22,270,7.9,3.74
2002,1,19,23,269,8.8,3.32
2002,1,20,0,265,7.5,3.28
2002,1,20,1,250,7.3,2.86
2002,1,20,2,222,8.1,3.02
2002,1,20,3,206,10.2,3
2002,1,20,4,200,10.8,2.86
2002,1,20,5,209,11.1,2.62
2002,1,20,6,190,11.1,2.77
2002,1,20,7,184,12.4,3.04
2002,1,20,8,182,12.6,3.14
2002,1,20,9,200,11.3,2.94
2002,1,20,10,246,11,3.11
2002,1,20,11,263,10.8,3.26
2002,1,20,12,267,9.9,3.36
2002,1,20,13,270,9.7,3.38
2002,1,20,14,267,10.8,3.8
2002,1,20,15,273,11.1,3.72
2002,1,20,16,266,11,3.46
2002,1,20,17,270,9,3.44
2002,1,20,18,270,7.1,3.67
2002,1,20,19,258,8.3,3.7
2002,1,20,20,247,10.4,3.86
2002,1,20,21,239,9.9,3.41
2002,1,20,22,254,8.8,3.74
2002,1,20,23,249,8.7,3.78
2002,1,21,0,251,11,3.78
2002,1,21,1,254,9.8,3.9
2002,1,21,2,264,9.9,4.29
2002,1,21,3,278,12.4,3.98
2002,1,21,4,260,9.1,4.28
2002,1,21,5,281,8.7,4.38
2002,1,21,6,258,12.1,5.11
2002,1,21,7,259,8.9,5.03
2002,1,21,8,236,8,4.94
2002,1,21,9,245,9.9,4.55
2002,1,21,10,236,6.1,5.07
2002,1,21,11,246,7.5,4.97
2002,1,21,12,242,7.3,4.82
2002,1,21,13,211,8,5.02
2002,1,21,14,254,8,4.99
2002,1,21,15,258,8.2,5.1
2002,1,21,16,246,5.8,5.46
2002,1,21,17,265,6.8,5.46
2002,1,21,18,268,6.6,5.9
2002,1,21,19,218,4.7,5.65
2002,1,21,20,241,4.6,5.66
2002,1,21,21,246,5.5,5.85
2002,1,21,22,277,9.6,5.26
2002,1,21,23,187,3.2,5.1
2002,1,22,0,142,3.1,5.3
2002,1,22,1,182,3,5.3
2002,1,22,2,187,3.8,4.84
2002,1,22,3,200,4.3,5.02
2002,1,22,4,197,3.6,5.18
2002,1,22,5,240,4.3,4.66
2002,1,22,6,260,3.4,5.51
2002,1,22,7,284,9.5,5.75
2002,1,22,8,293,11.6,5.21
2002,1,22,9,297,10.5,5.22
2002,1,22,10,280,11.3,5.97
2002,1,22,11,282,9.8,5.67
2002,1,22,12,278,9.2,5.99
2002,1,22,13,278,11.1,5.61
2002,1,22,14,257,9.7,5.26
2002,1,22,15,285,12.4,5.34
2002,1,22,16,290,10.6,5.07
2002,1,22,17,286,11,5.7
2002,1,22,18,292,13.7,5.9
2002,1,22,19,277,9.6,5.14
2002,1,22,20,276,11.3,5.09
2002,1,22,21,309,10.9,5.09
2002,1,22,22,294,10,4.83
2002,1,22,23,294,9.8,4.92
2002,1,23,0,301,10.6,4.57
2002,1,23,1,293,8.1,4.55
2002,1,23,2,307,9,3.97
2002,1,23,3,300,9.5,4.15
2002,1,23,4,284,8.5,4.16
2002,1,23,5,290,9.5,4.02
2002,1,23,6,288,6.5,3.95
2002,1,23,7,999,99,99
2002,1,23,8,237,6.1,3.76
2002,1,23,9,269,6,3.89
2002,1,23,10,272,9.4,3.67
2002,1,23,11,278,5.7,3.39
2002,1,23,12,261,5.2,3.03
2002,1,23,13,237,6.1,3
2002,1,23,14,248,5.2,3.01
2002,1,23,15,251,6.2,2.92
2002,1,23,16,210,6.8,2.9
2002,1,23,17,204,7.5,2.65
2002,1,23,18,209,10,2.5
2002,1,23,19,194,9.4,2.6
2002,1,23,20,186,10.3,2.7
2002,1,23,21,204,10.6,2.57
2002,1,23,22,237,9.5,2.69
2002,1,23,23,263,10.4,2.74
2002,1,24,0,257,9.1,2.56
2002,1,24,1,253,9.1,2.67
2002,1,24,2,241,8.7,2.57
2002,1,24,3,231,8.1,2.68
2002,1,24,4,221,8.4,2.5
2002,1,24,5,224,8.4,2.76
2002,1,24,6,217,9.4,2.54
2002,1,24,7,215,8.7,2.63
2002,1,24,8,215,10.7,2.54
2002,1,24,9,210,9.8,2.94
2002,1,24,10,209,10.2,2.7
2002,1,24,11,207,11.2,2.7
2002,1,24,12,208,10.7,2.69
2002,1,24,13,214,12,3.01
2002,1,24,14,208,11.2,2.98
2002,1,24,15,213,11.5,3
2002,1,24,16,220,10.3,3.25
2002,1,24,17,205,9.8,3.34
2002,1,24,18,222,9.8,3.27
2002,1,24,19,211,10.5,3.42
2002,1,24,20,204,8.7,3.1
2002,1,24,21,206,10.6,3.33
2002,1,24,22,199,11.2,3.72
2002,1,24,23,199,12,3.78
2002,1,25,0,197,11.7,3.74
2002,1,25,1,205,11.9,3.76
2002,1,25,2,206,11.1,3.71
2002,1,25,3,203,11.3,3.73
2002,1,25,4,204,11.3,3.77
2002,1,25,5,259,4,3.8
2002,1,25,6,270,2.8,3.91
2002,1,25,7,340,4.6,4.01
2002,1,25,8,344,8,3.68
2002,1,25,9,316,5.5,4.07
2002,1,25,10,312,3.6,5.1
2002,1,25,11,227,3.8,4.74
2002,1,25,12,257,6.4,5.02
2002,1,25,13,287,7.7,5.91
2002,1,25,14,274,5.4,5.77
2002,1,25,15,261,6.8,5.62
2002,1,25,16,245,5.7,5.78
2002,1,25,17,241,6.4,5.03
2002,1,25,18,264,3.6,5.13
2002,1,25,19,251,1.7,5.03
2002,1,25,20,242,4.3,4.66
2002,1,25,21,225,8,4.6
2002,1,25,22,209,5.1,4.31
2002,1,25,23,240,4.2,4.15
2002,1,26,0,209,9,4.49
2002,1,26,1,204,7.7,4.59
2002,1,26,2,214,8.4,4.42
2002,1,26,3,220,8.8,4.4
2002,1,26,4,249,10.9,4.35
2002,1,26,5,205,7.8,4.73
2002,1,26,6,247,7.9,4.81
2002,1,26,7,185,8.2,4.27
2002,1,26,8,228,7.6,4.3
2002,1,26,9,238,15.3,3.99
2002,1,26,10,239,9.8,4.42
2002,1,26,11,257,11.3,4.2
2002,1,26,12,244,9.6,4.44
2002,1,26,13,261,7.1,4.27
2002,1,26,14,225,7.8,0
2002,1,26,15,205,7.4,5.01
2002,1,26,16,200,6.6,5.21
2002,1,26,17,193,7.6,4.97
2002,1,26,18,155,5.5,4.52
2002,1,26,19,98,11.8,4.89
2002,1,26,20,158,5.7,4.52
2002,1,26,21,164,12.1,4.55
2002,1,26,22,157,8.4,4.81
2002,1,26,23,210,9.2,4.02
2002,1,27,0,224,9.5,4.13
2002,1,27,1,237,9.3,3.93
2002,1,27,2,242,10.3,4.11
2002,1,27,3,240,9.5,4.12
2002,1,27,4,232,9.7,3.83
2002,1,27,5,218,10.1,3.93
2002,1,27,6,206,11.3,3.68
2002,1,27,7,209,12.2,3.71
2002,1,27,8,206,10.1,3.76
2002,1,27,9,230,9.4,3.91
2002,1,27,10,251,8.2,3.58
2002,1,27,11,255,7.1,3.8
2002,1,27,12,261,4.8,3.41
2002,1,27,13,283,5.8,3.49
2002,1,27,14,281,3.5,3.25
2002,1,27,15,276,4.3,3.2
2002,1,27,16,330,3.6,3.25
2002,1,27,17,344,2.3,3.67
2002,1,27,18,101,7.2,3.37
2002,1,27,19,112,6.9,3.33
2002,1,27,20,111,5.4,2.96
2002,1,27,21,96,4.4,2.93
2002,1,27,22,73,5.1,2.6
2002,1,27,23,326,3,2.57
2002,1,28,0,136,5,2.54
2002,1,28,1,108,4.2,2.79
2002,1,28,2,75,2.4,2.64
2002,1,28,3,91,3.2,2.48
2002,1,28,4,77,3.3,2.4
2002,1,28,5,89,4.8,2.38
2002,1,28,6,83,6.4,2.27
2002,1,28,7,103,6.5,2.34
2002,1,28,8,96,5.7,2.26
2002,1,28,9,108,5.5,2.23
2002,1,28,10,104,5.5,2.11
2002,1,28,11,108,5.2,2.18
2002,1,28,12,100,5.4,1.99
2002,1,28,13,80,5.4,2.04
2002,1,28,14,81,5.5,1.84
2002,1,28,15,88,4.8,1.92
2002,1,28,16,69,3.2,1.93
2002,1,28,17,56,3,1.87
2002,1,28,18,45,2.7,1.78
2002,1,28,19,61,2.3,1.69
2002,1,28,20,65,1.4,1.73
2002,1,28,21,80,0.8,1.52
2002,1,28,22,103,0.6,1.51
2002,1,28,23,336,1.8,1.55
2002,1,29,0,315,3.5,1.35
2002,1,29,1,338,3.8,1.46
2002,1,29,2,342,4.7,1.31
2002,1,29,3,345,5.6,1.33
2002,1,29,4,353,5.6,1.43
2002,1,29,5,337,5.1,1.4
2002,1,29,6,335,4.5,1.29
2002,1,29,7,11,4.1,1.23
2002,1,29,8,32,2.8,1.34
2002,1,29,9,84,1.7,1.18
2002,1,29,10,111,1.9,1.18
2002,1,29,11,142,1.2,1.02
2002,1,29,12,120,2.2,1.13
2002,1,29,13,126,2.3,1.05
2002,1,29,14,330,2.4,1.09
2002,1,29,15,122,2.2,1.1
2002,1,29,16,299,5.5,1.02
2002,1,29,17,324,6.5,1.22
2002,1,29,18,340,5.2,1.15
2002,1,29,19,308,3.3,1.19
2002,1,29,20,360,3.2,1.17
2002,1,29,21,249,0.7,1.17
2002,1,29,22,303,2.4,1.07
2002,1,29,23,228,2.3,1.01
2002,1,30,0,244,2.3,1.04
2002,1,30,1,193,2.8,1.12
2002,1,30,2,196,4,1.05
2002,1,30,3,205,4.6,1.07
2002,1,30,4,190,5.1,0.94
2002,1,30,5,230,5.9,1.05
2002,1,30,6,244,8.5,1.21
2002,1,30,7,255,9.2,1.25
2002,1,30,8,254,8.7,1.54
2002,1,30,9,253,7.5,1.72
2002,1,30,10,252,7.4,1.72
2002,1,30,11,261,6.9,1.76
2002,1,30,12,251,7.6,1.89
2002,1,30,13,255,7.2,1.72
2002,1,30,14,241,6.3,1.74
2002,1,30,15,237,8,1.75
2002,1,30,16,235,7.5,1.7
2002,1,30,17,223,7.6,1.73
2002,1,30,18,212,8,1.73
2002,1,30,19,205,8,1.71
2002,1,30,20,206,9.6,1.79
2002,1,30,21,211,11.4,1.77
2002,1,30,22,209,9.8,1.98
2002,1,30,23,211,8.1,2.08
2002,1,31,0,203,9.4,2.09
2002,1,31,1,198,10.1,2.03
2002,1,31,2,192,10.7,2.15
2002,1,31,3,237,8.8,2.07
2002,1,31,4,283,6.8,2.1
2002,1,31,5,271,4.9,1.96
2002,1,31,6,265,3.1,1.96
2002,1,31,7,247,3.6,2.04
2002,1,31,8,276,4.6,1.86
2002,1,31,9,271,2.3,1.86
2002,1,31,10,236,1.4,1.92
2002,1,31,11,220,2.7,1.89
2002,1,31,12,196,2.6,1.93
2002,1,31,13,193,3.5,1.79
2002,1,31,14,195,3.2,1.88
2002,1,31,15,228,2.6,1.73
2002,1,31,16,192,2.2,1.94
2002,1,31,17,149,1.8,2.08
2002,1,31,18,27,1.5,2.3
2002,1,31,19,91,2.2,2.62
2002,1,31,20,123,4,2.82
2002,1,31,21,131,4.8,3.45
